subset	language	iso	country	clips	hours	train	val	test	dataset
tir_asr	Tigrinya	tir	ER	50315	143.52	40856	4425	5034	waxal
Chichewa	Chichewa	nya	MW	30322	139.02	28805	0	1517	open-bible
wal_asr	Wolaytta	wal	ET	47291	134.89	41833	2444	3014	waxal
sid_asr	Sidamo	sid	ET	45404	129.51	38752	3091	3561	waxal
orm_asr	Oromo	orm	ET	45045	128.49	38185	3078	3782	waxal
amh_asr	Amharic	amh	ET	44354	126.51	38022	2912	3420	waxal
Igbo	Igbo	ibo	NG	30011	119.02	28510	0	1501	open-bible
Gamo	Gamo	gmv	ET	30200	118.78	28690	0	1510	open-bible
Ndebele	North Ndebele	nde	BW	30161	111.17	28652	0	1509	open-bible
Lingala	Lingala	lin	CD	28790	108.68	27350	0	1440	open-bible
Kikuyu	Kikuyu	kik	KE	30722	107.76	29185	0	1537	open-bible
Dawro	Dawro	dwr	ET	29579	99.94	28100	0	1479	open-bible
Yoruba	Yoruba	yor	BJ	30625	95.84	29093	0	1532	open-bible
Oromo	Oromo	orm	ET	30413	93.68	28892	0	1521	open-bible
Swahili	Swahili (macrolanguage)	swa	BI	30634	93.06	29102	0	1532	open-bible
Luganda	Ganda	lug	UG	30440	91.11	28918	0	1522	open-bible
Ewe	Ewe	ewe	GH	30164	86.24	28655	0	1509	open-bible
Hausa	Hausa	hau	BF	30717	83.64	29181	0	1536	open-bible
Shona	Shona	sna	BW	30685	82.42	29150	0	1535	open-bible
Twi (Asante)	Twi	twi	GH	30565	78.92	29036	0	1529	open-bible
Gofa	Gofa	gof	ET	30388	78.76	28868	0	1520	open-bible
ful_asr	Fulah	ful	NG	23881	68.12	19132	2358	2391	waxal
Dholuo	Luo (Kenya and Tanzania)	luo	KE	30429	67.36	28907	0	1522	open-bible
mlg_asr	Malagasy	mlg	MG	23086	65.85	18526	2270	2290	waxal
malagasy_mlg	Malagasy	mlg	MG	20287	61.32	18900	746	641	afrispeech
kabuverdianu_kea	Kabuverdianu	kea	CV	19728	58.07	18156	699	873	afrispeech
Twi (Akuapem)	Twi	twi	GH	30270	55.28	28756	0	1514	open-bible
dga_asr	Southern Dagaare	dga	GH	18874	53.84	15071	1893	1910	waxal
ewe_asr	Ewe	ewe	GH	18861	53.8	15054	1916	1891	waxal
shona_sna	Shona	sna	ZW	17996	53.3	15954	1161	881	afrispeech
kabiye_kbp	Kabiye	kbp	TG	18211	53.19	16328	825	1058	afrispeech
ydd_Hebr	Eastern Yiddish (Hebr script)	ydd	ZA	3000	51.8	1950	300	750	omnilingual
bmm_Latn	Northern Betsimisaraka Malagasy	bmm	MG	2998	51.76	2998	0	0	omnilingual
orc_Latn	Orma	orc	KE	2998	51.76	1500	900	598	omnilingual
bzc_Latn	Southern Betsimisaraka Malagasy	bzc	MG	2997	51.75	2997	0	0	omnilingual
tkg_Latn	Tesaka Malagasy	tkg	MG	2997	51.75	2099	598	300	omnilingual
plt_Latn	Plateau Malagasy	plt	MG	2995	51.71	2995	0	0	omnilingual
lin_asr	Lingala	lin	CD	18110	51.66	14400	1844	1866	waxal
fuf_Latn	Pular	fuf	GN	2983	51.51	2983	0	0	omnilingual
arz_Arab	Egyptian Arabic (Arab script)	arz	EG	2980	51.45	2384	298	298	omnilingual
ayl_Arab	Libyan Arabic (Arab script)	ayl	EG	2980	51.45	2384	298	298	omnilingual
